Name,Season,Gender,Age,Height,Entered,Finalist,Loyalty
Marvin Brooks,5,True,29,72,26,False,0.07692307692307693
Dale Mehmet,7,True,24,70,29,False,0.15384615384615385
Josh Le Grove,8,True,22,74,26,False,0.15384615384615385
Zara Lackenby-Brown,9,False,25,69,3,False,0.07692307692307693
Daniel Lukakis,2,True,23,75,1,False,0.14285714285714285
Emma Jane Woodham,2,False,19,65,27,False,0.07142857142857142
Rykard Jenkins,2,True,25,72,1,False,0.21428571428571427
Connor Durman,6,True,25,72,1,False,0.14285714285714285
Amber Beckford,8,False,24,65,1,False,0.07142857142857142
Ikenna Ekwonna,8,True,23,77,1,False,0.07142857142857142
Chris Taylor,5,True,28,73,37,False,0.13333333333333333
Greg O'Shea,5,True,24,71,43,True,0.06666666666666667
India Reynolds,5,False,28,66,43,True,0.06666666666666667
Joe Garratt,5,True,22,70,1,False,0.06666666666666667
Molly Smith,6,False,25,67,23,False,0.06666666666666667
Natalia Zoppa,6,False,20,64,23,False,0.13333333333333333
Brad McClelland,7,True,26,74,1,False,0.13333333333333333
Jessica Shears,3,False,23,69,1,False,0.0625
Paul Knops,4,True,31,73,43,True,0.0625
Rosie Williams,4,False,26,66,4,False,0.0625
Joanna Chimonides,5,False,22,65,26,False,0.0625
Matthew MacNabb,7,True,26,78,29,False,0.0625
Ellie Spence,9,False,25,68,10,False,0.1875
Charlie Brake,4,True,23,71,26,False,0.058823529411764705
Leanne Amaning,6,False,22,62,1,False,0.058823529411764705
Summer Botwe,8,False,22,67,27,False,0.11764705882352941
Maxwell Samuda,9,True,23,73,28,False,0.058823529411764705
Chris Williamson,1,True,27,71,1,False,0.16666666666666666
Priscilla Anyabu,6,False,25,67,23,False,0.05555555555555555
Sharon Gaffka,7,False,25,66,1,False,0.1111111111111111
Billy Brown,8,True,23,73,26,False,0.1111111111111111
Alexandra Cane,4,False,27,66,38,False,0.05263157894736842
Abigail Rawlings,7,False,27,66,23,False,0.10526315789473684
Lucinda Strafford,7,False,21,66,9,False,0.15789473684210525
Cally Jane Beech,1,False,23,64,21,True,0.05
